bus_100011,bus_100221,bus_100251,bus_100331,bus_100351,bus_100931,bus_102281,bus_103441,bus_105251,bus_105581,bus_105701,bus_106001,bus_106771,bus_107501,bus_110161,bus_130001,bus_131751,bus_133661,bus_134201,bus_134461,bus_135041,bus_200001,bus_200071,bus_200261,bus_201361,bus_204901,bus_211211,bus_211651,bus_216471,bus_230171,bus_230541,bus_230601,bus_232301,bus_232631,bus_233771,bus_251601,bus_252891,bus_253751,bus_253851,bus_254001,bus_254031,bus_254391,bus_255951,bus_255981,bus_256181,bus_256751,bus_257141,bus_257301,bus_258301,bus_261001,bus_261161,bus_261331,bus_262011,bus_280781,bus_280991,bus_281221,bus_283651,bus_284011,bus_284741,bus_285491,bus_286671,bus_300011,bus_301441,bus_301461,bus_301721,bus_301741,bus_302051,bus_302071,bus_302201,bus_302211,bus_303741,bus_400011,bus_400031,bus_400041,bus_400061,bus_400071,bus_400081,bus_400501,bus_401601,bus_401621,bus_401681,bus_401691,bus_402791,bus_402811,bus_403671,bus_403691,bus_403911,bus_405951,bus_406021,bus_406911,bus_407871,bus_408441,bus_408811,bus_409611,bus_409941,bus_500001,bus_500071,bus_500241,bus_500991,bus_501961,bus_503161,bus_530001,bus_530021,bus_530121,bus_532171,bus_600001,bus_600031,bus_601941,bus_605141,bus_605771,bus_606631,bus_700001,bus_700161,bus_700631,bus_701551,bus_701721,bus_740011,bus_740531,bus_741041,bus_741321,bus_742351,bus_770011,bus_771731,bus_772611,bus_800071
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,25.572,0.0,0.0,28.1684,581.2215,77.3244,159.47570000000002,299.0791,195.21909999999997,471.2063,527.9803,232.16260000000003,455.34090000000003,530.3251,0.0,131.0083,194.9301,0.0,199.4089,1133.6053000000002,0.0,0.0,108.87299999999998,169.4536,0.4501,0.0,0.0,0.0,0.0,49.91850000000001,22.2734,70.42779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0,0.0,1.2028,0.0,0.0,0.0,69.8716,0.0,0.0,0.0,0.0,0.0,0.0,155.1624,0.0,0.0,12.2871,0.0,1.8085,19.6661,0.0,43.9868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3027,0.0,0.0,0.0,0.0,0.0,13.3947,0.0,0.0008,22.523100000000003,2.2322,0.0,0.2623,0.0,1.8012,0.1431,11.0961,12.4223,3.0370999999999997,0.0,0.0384,45.7955,5.287599999999999,0.0,42.5864,10.0427,19.2891,239.24280000000002,73.892,165.3384,242.1057,0.0,176.85500000000002,45.4826,0.0018
0.0,23.2602,0.0,0.0,28.991,597.064,67.629,155.45340000000002,261.5788,241.066,579.7882000000001,524.6477000000001,224.86729999999997,562.277,654.8711,0.0,126.57560000000001,268.33169999999996,0.0,193.0523,1133.5406,0.0,0.0,253.52320000000003,393.3327,1.0543,0.0,0.0,0.0,0.0,57.9862,25.872999999999998,79.55090000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,0.0,0.0,1.3122,0.0,0.0,0.0,156.1942,0.0,0.0,0.0,0.0,0.0,0.0,158.9992,0.0,0.0,12.567900000000002,0.0,1.684,20.1523,0.0,45.0745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0157,0.0,0.0,0.0,0.0,0.0,12.5392,0.0,0.0011,21.196099999999998,2.2492,0.0,0.20299999999999999,0.0,1.7199,0.1785,13.458200000000001,17.105900000000002,3.1488000000000005,0.0,0.0384,42.8711,5.2512,0.0,42.841,10.003499999999999,18.5812,226.6594,69.7265,151.08859999999999,229.3718,0.0,167.553,45.1701,0.0017
0.0,23.2602,0.0,0.0,28.991,597.064,67.629,155.45340000000002,261.5788,241.066,579.7882000000001,524.6477000000001,224.86729999999997,562.277,654.8711,0.0,126.57560000000001,268.33169999999996,0.0,193.0523,1133.5406,0.0,0.0,253.52320000000003,393.3327,1.0543,0.0,0.0,0.0,0.0,57.9862,25.872999999999998,79.55090000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,0.0,0.0,1.3122,0.0,0.0,0.0,156.1942,0.0,0.0,0.0,0.0,0.0,0.0,158.9992,0.0,0.0,12.567900000000002,0.0,1.684,20.1523,0.0,45.0745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0157,0.0,0.0,0.0,0.0,0.0,12.5392,0.0,0.0011,21.196099999999998,2.2492,0.0,0.20299999999999999,0.0,1.7199,0.1785,13.458200000000001,17.105900000000002,3.1488000000000005,0.0,0.0384,42.8711,5.2512,0.0,42.841,10.003499999999999,18.5812,226.6594,69.7265,151.08859999999999,229.3718,0.0,167.553,45.1701,0.0017
0.0,23.2602,0.0,0.0,28.991,597.064,67.629,155.45340000000002,261.5788,241.066,579.7882000000001,524.6477000000001,224.86729999999997,562.277,654.8711,0.0,126.57560000000001,268.33169999999996,0.0,193.0523,1133.5406,0.0,0.0,253.52320000000003,393.3327,1.0543,0.0,0.0,0.0,0.0,57.9862,25.872999999999998,79.55090000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,0.0,0.0,1.3122,0.0,0.0,0.0,156.1942,0.0,0.0,0.0,0.0,0.0,0.0,158.9992,0.0,0.0,12.567900000000002,0.0,1.684,20.1523,0.0,45.0745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0157,0.0,0.0,0.0,0.0,0.0,12.5392,0.0,0.0011,21.196099999999998,2.2492,0.0,0.20299999999999999,0.0,1.7199,0.1785,13.458200000000001,17.105900000000002,3.1488000000000005,0.0,0.0384,42.8711,5.2512,0.0,42.841,10.003499999999999,18.5812,226.6594,69.7265,151.08859999999999,229.3718,0.0,167.553,45.1701,0.0017
