line,reactance,limit
line_301441_301741,0.00513,19993.17738791423
line_301441_301721,0.0339456882238177,3445.8822381405084
line_400061_400071,0.001189,84604.28931875527
line_100011_100221,0.758172515672014,631.8961027113519
line_100011_102281,1.52123288581278,565.7361544919344
line_100221_100931,1.22254821493843,581.7963649842933
line_100221_131751,2.10974537524874,547.3990848247315
line_100221_100331,1.6414618517487,560.9213061476067
line_100221_110161,0.322013178335058,810.5462966361861
line_100221_100251,0.535073089580561,686.8903556304599
line_100221_105251,1.6543816788298,560.4455436612024
line_100221_103441,0.490722487267894,703.7811647001379
line_100221_102281,0.202105329427336,994.7915044266733
line_100221_105581,1.46152587527473,568.4216418550938
line_100221_107501,0.283701821820088,852.4827558682928
line_100221_105701,1.87138194295772,553.4364459250633
line_100221_135041,0.52164485587365,691.7013057332276
line_100251_100931,0.749331479695905,633.4522874183561
line_100251_131751,1.40518498662225,571.1650074203949
line_100251_100331,0.40629389329707,746.1272533251761
line_100251_110161,0.493069538474618,702.8111497403885
line_100251_103441,0.409406167106622,744.2562131067189
line_100251_102281,0.288529400885331,846.5851302957599
line_100251_107501,0.4348588253398,729.9596884617891
line_100251_135041,0.490697028605891,703.7917374069044
line_100331_100931,0.0542022830058725,2344.9407378129363
line_100331_131751,0.462670966981653,716.1363196233696
line_100331_100351,0.00629282420573379,16391.116092021715
line_100331_110161,1.18110903344616,584.6661884451318
line_100331_103441,1.0957562446964,591.2611728055512
line_100331_102281,0.858984171572716,616.4165805487542
line_100331_107501,1.05062259440617,595.1816575547014
line_100331_135041,0.276750194174846,861.3366931797768
line_100351_100931,0.216728480446023,961.4068247708005
line_100351_131751,0.663505593073459,650.714630055769
line_100351_135041,0.429896959725748,732.6138804605523
line_100931_204901,1.37622118324716,572.6627385316453
line_100931_201361,1.62875322346625,561.3966551588361
line_100931_134461,1.47457689303606,567.8160633550322
line_100931_130001,1.3095847494053,576.3600828777301
line_100931_200071,1.31564162050141,576.0085409595727
line_100931_133661,1.51293937869925,566.0965015571047
line_100931_131751,0.0740168267199722,1851.044139980898
line_100931_110161,0.533236507011413,687.5340466849538
line_100931_106001,1.25862418038972,579.45183443801
line_100931_106771,1.86721961716411,553.5555641557995
line_100931_103441,0.770326279473813,629.8151220652982
line_100931_102281,0.578928332575039,672.7329522036102
line_100931_105581,2.01776974875628,549.5596685705286
line_100931_107501,0.479930908392561,708.3633253272462
line_100931_105701,1.35260138797276,573.9316112560531
line_100931_135041,0.059900987543016,2169.4215588380434
line_102281_742351,1.45215089339887,568.8633670609412
line_102281_131751,0.97467589439368,602.5982078506285
line_102281_110161,0.108756438100725,1419.4857954743313
line_102281_106001,1.47597251839049,567.7519389785438
line_102281_740531,1.90341037244317,552.5372780603494
line_102281_106771,1.28045903608628,578.0969927047802
line_102281_105251,0.334062760484741,799.3449489996887
line_102281_103441,0.233759950979103,927.7892751994098
line_102281_105581,0.518424514063129,692.8921130990788
line_102281_107501,0.0860004843120138,1662.7841494147322
line_102281_105701,0.689577967185036,645.0162342167275
line_102281_135041,0.222771377249828,948.8907023627839
line_103441_131751,1.4328684641656,569.7900766894419
line_103441_110161,0.439079956872522,727.7489519500728
line_103441_105251,2.03032600258851,549.2531740580122
line_103441_105581,1.91897019020323,552.111283703375
line_103441_107501,0.386237706185269,758.9079170639865
line_103441_135041,0.480602538114173,708.0721429237308
line_105251_110161,0.547673647115545,682.5904907542549
line_105251_105581,2.0029560297669,549.9262083210273
line_105251_107501,0.455139437666699,719.7128873574575
line_105251_135041,1.17751680799165,584.924477783513
line_105581_742351,2.04746945987904,548.8407773398035
line_105581_110161,0.302799215048126,830.2518468685803
line_105581_106001,1.2259938608547,581.5664769563243
line_105581_106771,1.85057147565542,554.037361601817
line_105581_107501,0.293485029811494,840.7328818925796
line_105581_105701,0.5581798934427,679.1537122256904
line_105581_135041,0.586198809962031,670.5905885521623
line_105701_742351,2.04155124210554,548.9823610289917
line_105701_131751,2.05167817475111,548.7405876957926
line_105701_110161,0.370103206462818,770.1949030804908
line_105701_106001,0.199823450880407,1000.4417627631169
line_105701_106771,1.79295907394956,555.7737214713543
line_105701_107501,0.371282332117181,769.3368128501165
line_105701_135041,0.361270753609045,776.8007069518188
line_106001_134461,1.5365085583285,565.0826182893413
