Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_6704_MT14,253751,OIL,0.1,0.04,9.96
ID_6704_MT15,253751,OIL,0.1,0.04,9.96
ID_6704_MT16,253751,OIL,0.1,0.04,9.96
ID_6704_MT17,253751,OIL,0.1,0.04,9.96
ID_6704_MT18,253751,OIL,0.1,0.04,9.96
ID_6704_MT19,253751,OIL,0.1,0.04,9.96
ID_6704_MT20,253751,OIL,0.1,0.04,9.96
ID_6704_MT21,253751,OIL,0.1,0.04,9.96
ID_6704_MT22,253751,OIL,0.1,0.04,9.96
ID_6704_MT23,253751,OIL,0.1,0.04,9.96
ID_6704_MT24,253751,OIL,0.1,0.04,9.96
ID_6704_MT25,253751,OIL,0.1,0.04,9.96
ID_59074_EG1A,233771,OIL,2.2,0.77,9.96
ID_59074_EG1B,233771,OIL,2.2,0.77,9.96
ID_59074_EG2A,233771,OIL,2.2,0.77,9.96
ID_59074_EG2B,233771,OIL,2.2,0.77,9.96
ID_59074_EG3A,233771,OIL,2.2,0.77,9.96
ID_59074_EG3B,233771,OIL,2.2,0.77,9.96
ID_59074_EG4A,233771,OIL,2.2,0.77,9.96
ID_59074_EG4B,233771,OIL,2.2,0.77,9.96
ID_59074_EG5A,233771,OIL,2.2,0.77,9.96
ID_59074_EG5B,233771,OIL,2.2,0.77,9.96
ID_59074_EG6A,233771,OIL,2.2,0.77,9.96
ID_59074_EG6B,233771,OIL,2.2,0.77,9.96
ID_59074_EG7A,233771,OIL,2.2,0.77,9.96
ID_59074_EG7B,233771,OIL,2.2,0.77,9.96
ID_59074_EG8A,233771,OIL,2.2,0.77,9.96
ID_59074_EG8B,233771,OIL,2.2,0.77,9.96
ID_59074_EG10B,233771,OIL,2.3,0.81,9.96
ID_59074_EG11A,233771,OIL,2.3,0.81,9.96
ID_59074_EG11B,233771,OIL,2.3,0.81,9.96
ID_59074_EG12A,233771,OIL,2.3,0.81,9.96
ID_59074_EG12B,233771,OIL,2.3,0.81,9.96
ID_59074_EG13A,233771,OIL,2.3,0.81,9.96
ID_59074_EG14A,233771,OIL,2.3,0.81,9.96
ID_59074_EG9B,233771,OIL,2.3,0.81,9.96
ID_59074_EG15A,233771,OIL,2.3,0.81,9.96
ID_59074_EG15B,233771,OIL,2.3,0.81,9.96
ID_59074_EG16A,233771,OIL,2.3,0.81,9.96
ID_59074_EG16B,233771,OIL,2.3,0.81,9.96
ID_59074_EG9A,233771,OIL,2.3,0.81,9.96
ID_50388_GEN1,211651,OIL,27.3,9.59,9.96
ID_10180_1,605141,BIO,2.0,0.69,13.5
ID_10180_2,605141,BIO,2.0,0.69,13.5
ID_10180_3,605141,BIO,2.0,0.69,13.5
ID_10180_4,605141,BIO,2.0,0.69,13.5
ID_10180_5,605141,BIO,3.5,1.2,13.5
ID_10180_6,605141,BIO,3.5,1.2,13.5
ID_56530_GEN1,605141,BIO,0.8,0.27,13.5
ID_56530_GEN2,605141,BIO,0.8,0.27,13.5
ID_56530_GEN3,605141,BIO,0.8,0.27,13.5
ID_56530_GEN4,605141,BIO,0.8,0.27,13.5
ID_59143_FR1,601941,BIO,3.2,1.1,13.5
ID_58574_01,601941,BIO,11.3,3.87,13.5
ID_470_3,606631,BIT (Bituminous Coal),856.8,386.93,9.75
ID_470_1,606631,BIT (Bituminous Coal),382.5,172.74,9.75
ID_492_7,606631,BIT (Bituminous Coal),132.0,59.61,9.75
ID_470_2,606631,BIT (Bituminous Coal),396.0,178.83,9.75
ID_525_2,701551,BIT (Bituminous Coal),275.4,124.37,9.75
ID_6021_2,701551,BIT (Bituminous Coal),446.4,201.59,9.75
ID_6021_1,701551,BIT (Bituminous Coal),446.4,201.59,9.75
ID_8219_1,606631,BIT (Bituminous Coal),207.0,93.48,9.75
ID_6248_1,605141,BIT (Bituminous Coal),552.3,249.42,9.75
ID_6021_3,701551,BIT (Bituminous Coal),534.8,241.52,9.75
ID_6761_1,601941,BIT (Bituminous Coal),293.6,132.59,9.75
ID_527_ST4,600001,BIT (Bituminous Coal),79.3,35.81,9.75
ID_58081_ATB2,605141,BIT (Bituminous Coal),3.0,1.35,9.75
ID_527_1,600001,BIT (Bituminous Coal),11.5,5.19,9.75
ID_527_2,600001,BIT (Bituminous Coal),11.5,5.19,9.75
ID_527_3,600001,BIT (Bituminous Coal),11.5,5.19,9.75
ID_525_1,701551,BIT (Bituminous Coal),190.0,85.8,9.75
ID_469_4,605141,BIT (Bituminous Coal),380.8,171.97,9.75
ID_492_6,606631,BIT (Bituminous Coal),75.0,33.87,9.75
ID_10755_GT2,600031,NG (Natural Gas),15.0,6.63,8.037
ID_10755_GT3,600031,NG (Natural Gas),15.0,6.63,8.037
ID_10755_GT4,600031,NG (Natural Gas),15.0,6.63,8.037
ID_10755_ST1,600031,NG (Natural Gas),39.0,17.23,8.037
ID_10682_GT1,605141,NG (Natural Gas),23.8,10.51,8.037
ID_10682_ST1,605141,NG (Natural Gas),38.0,16.78,8.037
ID_54372_GT1,601941,NG (Natural Gas),16.0,7.07,8.037
ID_54372_GT2,601941,NG (Natural Gas),16.0,7.07,8.037
ID_54372_ST1,601941,NG (Natural Gas),1.0,0.44,8.037
ID_10682_GT3,605141,NG (Natural Gas),37.0,16.34,8.037
ID_10682_ST2,605141,NG (Natural Gas),37.0,16.34,8.037
ID_50707_LMA,601941,NG (Natural Gas),58.5,25.84,8.037
ID_50707_LMB,601941,NG (Natural Gas),58.5,25.84,8.037
ID_50707_LMC,601941,NG (Natural Gas),58.5,25.84,8.037
ID_50707_LMD,601941,NG (Natural Gas),58.5,25.84,8.037
ID_50707_LME,601941,NG (Natural Gas),58.5,25.84,8.037
ID_50707_STA,601941,NG (Natural Gas),52.2,23.06,8.037
ID_50707_STB,601941,NG (Natural Gas),52.2,23.06,8.037
ID_6112_2,601941,NG (Natural Gas),175.1,77.34,8.037
ID_6112_1,601941,NG (Natural Gas),342.6,151.33,8.037
ID_6112_3,601941,NG (Natural Gas),175.1,77.34,8.037
ID_10682_GT4,605141,NG (Natural Gas),23.8,10.51,8.037
ID_10682_GT5,605141,NG (Natural Gas),23.8,10.51,8.037
ID_55200_UN5,605141,NG (Natural Gas),71.1,31.4,8.037
ID_55200_UN6,605141,NG (Natural Gas),71.1,31.4,8.037
ID_6112_4,601941,NG (Natural Gas),175.1,77.34,8.037
ID_10682_ST4,605141,NG (Natural Gas),90.0,39.75,8.037
ID_55200_UN7,605141,NG (Natural Gas),51.8,22.88,8.037
ID_55283_1,606631,NG (Natural Gas),154.0,68.02,8.037
ID_55283_2,606631,NG (Natural Gas),154.0,68.02,8.037
ID_55283_3,606631,NG (Natural Gas),233.0,102.92,8.037
